msg	em1
Me gusta	positivo
Es buen producto	positivo
Me parece un producto de buena calidad	positivo
Tiene fallos	negativo
No me parece un producto de buena calidad	negativo
No tiene buen aspecto	negativo
Está bien, pero podría estar mejor	neutro
No me esperaba algo tan bueno	positivo
No me esperaba algo de tan poca calidad	negativo
Es un timo	negativo
El servicio técnico es malo	negativo
Me han tratado fenomenal	positivo
La impresión ha sido positiva	positivo
Da muy buena impresión	positivo
Esperaba un producto de mejor calidad	negativo
La calidad no es la esperada	negativo
Ofrece todo lo que esperaba	positivo
Correcto, sin más	neutro
Lo volvería a comprar	positivo
No lo volveré a comprar	negativo
Es un gran producto	positivo
Es un producto mediocre	negativo
Creo que estamos ante el mejor de los productos	positivo
Malo	negativo
Bueno, sin paliativos	positivo
Está bien, sin más	neutro
Del montón	neutro
Es un producto sin pena ni gloria	neutro
No es mal producto	positivo
Arrastra algunas deficiencias	negativo
Es prometedor	positivo
Sin alardes, bien	positivo
No funciona correctamente	negativo
No funciona según lo especificado	negativo
No hay manera de que funcione	negativo
No creo que sirva para lo que dice	negativo
En línea con la competencia	neutro
Equivalente a lo que ofrecen otros	neutro
No destaca por nada en especial	neutro
Cumple su función, sin más	neutro
No creo que vuelva a comprarlo	negativo
Me ha encantado	positivo
Me ha enamorado	positivo
Muy buena impresión en general	positivo
En general, cumple con lo especificado	positivo
Creo que he hecho buena compra	positivo
Es una buena opción, por encima de las demás	positivo
Debemos concluir que la decisión ha sido acertada	positivo
Decepcionante	negativo
Muy decepcionante	negativo
No merece la pena	negativo
Sin ningún tipo de dudas, el mejor	positivo
No piendo volver a comprarlo	negativo
En mal estado	negativo
Llegó abierto y roto	negativo
Llegó tarde y en mal estado	negativo
No ha llegado a tiempo	negativo
No os fiéis de la publicidad	negativo
No os lo recomiendo	negativo
Me gusta	positivo
Es buen producto	positivo
Me parece un producto de buena calidad	positivo
Tiene fallos	negativo
No me parece un producto de buena calidad	negativo
No tiene buen aspecto	negativo
Está bien, pero podría estar mejor	neutro
No me esperaba algo tan bueno	positivo
No me esperaba algo de tan poca calidad	negativo
Es un timo	negativo
El servicio técnico es malo	negativo
Me han tratado fenomenal	positivo
La impresión ha sido positiva	positivo
Da muy buena impresión	positivo
Esperaba un producto de mejor calidad	negativo
La calidad no es la esperada	negativo
Ofrece todo lo que esperaba	positivo
Correcto, sin más	neutro
Lo volvería a comprar	positivo
No lo volveré a comprar	negativo
Es un gran producto	positivo
Es un producto mediocre	negativo
Creo que estamos ante el mejor de los productos	positivo
Malo	negativo
Bueno, sin paliativos	positivo
Está bien, sin más	neutro
Del montón	neutro
Es un producto sin pena ni gloria	neutro
No es mal producto	positivo
Arrastra algunas deficiencias	negativo
Es prometedor	positivo
Sin alardes, bien	positivo
No funciona correctamente	negativo
No funciona según lo especificado	negativo
No hay manera de que funcione	negativo
No creo que sirva para lo que dice	negativo
En línea con la competencia	neutro
Equivalente a lo que ofrecen otros	neutro
No destaca por nada en especial	neutro
Cumple su función, sin más	neutro
No creo que vuelva a comprarlo	negativo
Me ha encantado	positivo
Me ha enamorado	positivo
Muy buena impresión en general	positivo
En general, cumple con lo especificado	positivo
Creo que he hecho buena compra	positivo
Es una buena opción, por encima de las demás	positivo
Debemos concluir que la decisión ha sido acertada	positivo
Decepcionante	negativo
Muy decepcionante	negativo
No merece la pena	negativo
Sin ningún tipo de dudas, el mejor	positivo
No piendo volver a comprarlo	negativo
En mal estado	negativo
Llegó abierto y roto	negativo
Llegó tarde y en mal estado	negativo
No ha llegado a tiempo	negativo
No os fiéis de la publicidad	negativo
No os lo recomiendo	negativo
Me gusta	positivo
Es buen producto	positivo
Me parece un producto de buena calidad	positivo
Tiene fallos	negativo
No me parece un producto de buena calidad	negativo
No tiene buen aspecto	negativo
Está bien, pero podría estar mejor	neutro
No me esperaba algo tan bueno	positivo
No me esperaba algo de tan poca calidad	negativo
Es un timo	negativo
El servicio técnico es malo	negativo
Me han tratado fenomenal	positivo
La impresión ha sido positiva	positivo
Da muy buena impresión	positivo
Esperaba un producto de mejor calidad	negativo
La calidad no es la esperada	negativo
Ofrece todo lo que esperaba	positivo
Correcto, sin más	neutro
Lo volvería a comprar	positivo
No lo volveré a comprar	negativo
Es un gran producto	positivo
Es un producto mediocre	negativo
Creo que estamos ante el mejor de los productos	positivo
Malo	negativo
Bueno, sin paliativos	positivo
Está bien, sin más	neutro
Del montón	neutro
Es un producto sin pena ni gloria	neutro
No es mal producto	positivo
Arrastra algunas deficiencias	negativo
Es prometedor	positivo
Sin alardes, bien	positivo
No funciona correctamente	negativo
No funciona según lo especificado	negativo
No hay manera de que funcione	negativo
No creo que sirva para lo que dice	negativo
En línea con la competencia	neutro
Equivalente a lo que ofrecen otros	neutro
No destaca por nada en especial	neutro
Cumple su función, sin más	neutro
No creo que vuelva a comprarlo	negativo
Me ha encantado	positivo
Me ha enamorado	positivo
Muy buena impresión en general	positivo
En general, cumple con lo especificado	positivo
Creo que he hecho buena compra	positivo
Es una buena opción, por encima de las demás	positivo
Debemos concluir que la decisión ha sido acertada	positivo
Decepcionante	negativo
Muy decepcionante	negativo
No merece la pena	negativo
Sin ningún tipo de dudas, el mejor	positivo
No piendo volver a comprarlo	negativo
En mal estado	negativo
Llegó abierto y roto	negativo
Llegó tarde y en mal estado	negativo
No ha llegado a tiempo	negativo
No os fiéis de la publicidad	negativo
No os lo recomiendo	negativo
Me gusta	positivo
Es buen producto	positivo
Me parece un producto de buena calidad	positivo
Tiene fallos	negativo
No me parece un producto de buena calidad	negativo
No tiene buen aspecto	negativo
